Kovats.on.DB5,Compound.Name,Source,Data.From
916,"2,5-diethenyl-2-methyl-tetrahydrofuran",Adams Essential Oil Components,experiment
917,4-methoxy-2-methyl-2-butanethiol,Flavornet,experiment
918,"2,5-Hexanedione",VOCbinbase,experiment
918,"Propanoic acid, 2-mercapto-, ethyl ester",Flavornet,estimate
918,anisole,Adams Essential Oil Components,experiment
920,3-Thujene,VOCbinbase,experiment
920,"2,3-dimethyl pyrazine",Adams Essential Oil Components,experiment
921,2-Oxolanone,VOCbinbase,experiment
923,2-Acetyl-1-pyrroline,Flavornet,experiment
924,2-methyl-4-heptanone,Adams Essential Oil Components,experiment
924,3-methyl-4-heptanone,Adams Essential Oil Components,experiment
924,isocitronellene,Adams Essential Oil Components,experiment
925,dimethyl sulfone,Flavornet,experiment
925,heptanol,Flavornet,estimate
925,hexanethiol,Flavornet,estimate
925,Acetonyl acetone,Adams Essential Oil Components,experiment
926,tricyclene,Lucero 2009,experiment
926,tricyclene,Lucero 2009,experiment
927,tricyclene,Lucero 2009,experiment
927,tricyclene,Lucero 2009,experiment
927,methyl hexanoate,Adams Essential Oil Components,experiment
927,tricyclene,Adams Essential Oil Components,experiment
928,artemisia triene,Lucero 2009,experiment
928,dimethylthiazole,Flavornet,experiment
928,tricyclene,Lucero 2009,experiment
928,tricyclene,Lucero 2009,experiment
930,α-Thujene,Lucero 2009,experiment
930,tricyclene,Lucero 2009,experiment
930,Artemisia triene,Adams Essential Oil Components,experiment
930,α-thujene,Adams Essential Oil Components,experiment
931,α-Thujene,Lucero 2009,experiment
931,Verbenene,VOCbinbase,experiment
931,cumene,Adams Essential Oil Components,experiment
932,α-Thujene,Lucero 2009,experiment
932,α-Thujene,Lucero 2009,experiment
932,α-Thujene,Lucero 2009,experiment
934.8641975309,α-Pinene,marie standards,experiment
935,ethyl 3-hydroxybutanoate,Flavornet,experiment
935,"4,5-dimethyl thiazole",Adams Essential Oil Components,experiment
936,methyldihydrofuranthiol,Flavornet,estimate
936,4-Methyl-3-thiazoline,Flavornet,experiment
937,"Octane, 2,6-dimethyl-",Adams Essential Oil Components,experiment
937,"2-ethyl-4,5-dimethyl oxazole",Adams Essential Oil Components,experiment
938,2-ethylpyridine,Flavornet,estimate
938,α-Pinene,Lucero 2009,experiment
938,α-Pinene,Lucero 2009,experiment
938,α-thujene,Flavornet,experiment
938,allyl isovalerate,Adams Essential Oil Components,experiment
939,α-Pinene,Lucero 2009,experiment
939,α-Pinene,Lucero 2009,experiment
939,α-Pinene,Flavornet,experiment
939,5-Norbornen-2-ol,Adams Essential Oil Components,experiment
939,alpha-pinene,Adams Essential Oil Components,experiment
940,α-Pinene,Lucero 2009,experiment
940,α-Pinene,Lucero 2009,experiment
940,α-Pinene,Lucero 2009,experiment
942,α-Pinene,Lucero 2009,experiment
944,3-mercapto-4-methyl-2-pentanone,Flavornet,experiment
